,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,skibbereen,40.0,IE,2/15/2019,93.0,51.55,-9.27,42.8,11.41
1,hithadhoo,88.0,MV,2/15/2019,100.0,-0.6,73.08,83.48,4.76
2,belushya guba,,,,,,,,
3,nelson bay,75.0,AU,2/15/2019,47.0,-32.72,152.14,78.8,17.22
4,vaini,0.0,IN,2/15/2019,67.0,15.34,74.49,60.8,1.97
5,nenjiang,0.0,CN,2/15/2019,43.0,49.17,125.23,17.46,10.02
6,vao,0.0,EE,2/15/2019,97.0,59.1,26.19,32.45,9.01
7,vostok,0.0,RU,2/15/2019,58.0,46.45,135.83,9.81,3.53
8,guanica,36.0,PR,2/15/2019,100.0,17.97,-66.91,77.31,11.48
9,malgrat de mar,90.0,ES,2/15/2019,100.0,41.65,2.74,41.0,1.12
10,rikitea,92.0,PF,2/15/2019,100.0,-23.12,-134.97,76.82,3.42
11,nizhneyansk,,,,,,,,
12,rungata,,,,,,,,
13,saskylakh,32.0,RU,2/15/2019,75.0,71.97,114.09,-11.75,13.27
14,yellowknife,20.0,CA,2/15/2019,83.0,62.45,-114.38,-11.21,6.93
15,illoqqortoormiut,,,,,,,,
16,qaanaaq,56.0,GL,2/15/2019,93.0,77.48,-69.36,-5.0,6.44
17,vuktyl,64.0,RU,2/15/2019,71.0,63.86,57.31,14.31,7.11
18,nikolskoye,75.0,RU,2/15/2019,100.0,59.7,30.79,30.2,11.18
19,novyy urengoy,32.0,RU,2/15/2019,73.0,66.08,76.63,-11.07,10.13
20,mys shmidta,,,,,,,,
21,albany,90.0,US,2/15/2019,69.0,42.65,-73.75,39.2,4.7
22,chokurdakh,12.0,RU,2/15/2019,0.0,70.62,147.9,-43.25,3.09
23,bluff,56.0,AU,2/15/2019,34.0,-23.58,149.07,88.79,8.01
24,zavetnoye,64.0,RU,2/15/2019,85.0,47.12,43.89,19.58,12.71
25,saint-joseph,0.0,FR,2/15/2019,86.0,43.56,6.97,48.2,4.7
26,thompson,20.0,CA,2/15/2019,83.0,55.74,-97.86,-7.61,9.17
27,tuktoyaktuk,5.0,CA,2/15/2019,74.0,69.44,-133.03,-23.81,16.11
28,flinders,90.0,AU,2/15/2019,47.0,-34.58,150.85,78.8,11.41
